,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,target
0,8.325200080871582,41.0,880.0,129.0,322.0,126.0,37.880001068115234,-122.2300033569336,452600.0
1,8.301400184631348,21.0,7099.0,1106.0,2401.0,1138.0,37.86000061035156,-122.22000122070312,358500.0
2,7.257400035858154,52.0,1467.0,190.0,496.0,177.0,37.84999847412109,-122.23999786376952,352100.0
3,5.643099784851074,52.0,1274.0,235.0,558.0,219.0,37.84999847412109,-122.25,341300.0
4,3.846199989318848,52.0,1627.0,280.0,565.0,259.0,37.84999847412109,-122.25,342200.0
5,4.036799907684326,52.0,919.0,213.0,413.0,193.0,37.84999847412109,-122.25,269700.0
6,3.65910005569458,52.0,2535.0,489.0,1094.0,514.0,37.84000015258789,-122.25,299200.0
7,3.119999885559082,52.0,3104.0,687.0,1157.0,647.0,37.84000015258789,-122.25,241400.0
8,2.080399990081787,42.0,2555.0,665.0,1206.0,595.0,37.84000015258789,-122.26000213623048,226700.0
9,3.691200017929077,52.0,3549.0,707.0,1551.0,714.0,37.84000015258789,-122.25,261100.0
10,3.2030999660491943,52.0,2202.0,434.0,910.0,402.0,37.84999847412109,-122.26000213623048,281500.0
11,3.2704999446868896,52.0,3503.0,752.0,1504.0,734.0,37.84999847412109,-122.26000213623048,241800.0
12,3.075000047683716,52.0,2491.0,474.0,1098.0,468.0,37.84999847412109,-122.26000213623048,213500.0
13,2.6735999584198,52.0,696.0,191.0,345.0,174.0,37.84000015258789,-122.26000213623048,191300.0
14,1.916700005531311,52.0,2643.0,626.0,1212.0,620.0,37.84999847412109,-122.26000213623048,159200.0
15,2.125,50.0,1120.0,283.0,697.0,264.0,37.84999847412109,-122.26000213623048,140000.0
16,2.775000095367432,52.0,1966.0,347.0,793.0,331.0,37.84999847412109,-122.2699966430664,152500.0
17,2.120199918746948,52.0,1228.0,293.0,648.0,303.0,37.84999847412109,-122.2699966430664,155500.0
18,1.991099953651428,50.0,2239.0,455.0,990.0,419.0,37.84000015258789,-122.26000213623048,158700.0
19,2.603300094604492,52.0,1503.0,298.0,690.0,275.0,37.84000015258789,-122.2699966430664,162900.0
20,1.357800006866455,40.0,751.0,184.0,409.0,166.0,37.84999847412109,-122.2699966430664,147500.0
21,1.7135000228881836,42.0,1639.0,367.0,929.0,366.0,37.84999847412109,-122.2699966430664,159800.0
22,1.725000023841858,52.0,2436.0,541.0,1015.0,478.0,37.84000015258789,-122.2699966430664,113900.0
23,2.1805999279022217,52.0,1688.0,337.0,853.0,325.0,37.84000015258789,-122.2699966430664,99700.0
24,2.5999999046325684,52.0,2224.0,437.0,1006.0,422.0,37.84000015258789,-122.2699966430664,132600.0
25,2.4038000106811523,41.0,535.0,123.0,317.0,119.0,37.84999847412109,-122.27999877929688,107500.0
26,2.459700107574463,49.0,1130.0,244.0,607.0,239.0,37.84999847412109,-122.27999877929688,93800.0
